address,type,rent,beds,baths,sqft,Location,Area
"Shyamoli, Dhaka",Apartment,27000.0,3 ,3 ,"1,500 ",Dhaka,Shyamoli
"10 No. North Kattali Ward, Chattogram",Apartment,16000.0,2 ,2 ,850 ,Chattogram,10 No. North Kattali Ward
"West Kafrul, Taltola, Dhaka",Apartment,30000.0,3 ,4 ,"1,550 ",Dhaka,Taltola
"Nurer Chala, Badda, Dhaka",Apartment,17000.0,3 ,2 ,900 ,Dhaka,Badda
"Sector 6, Uttara, Dhaka",Apartment,50000.0,4 ,4 ,"2,100 ",Dhaka,Uttara
"Gulshan 2, Gulshan, Dhaka",Apartment,110000.00000000001,2 ,3 ,"2,250 ",Dhaka,Gulshan
"Dhanmondi, Dhaka",Apartment,42000.0,3 ,4 ,"1,630 ",Dhaka,Dhanmondi
"West Shewrapara, Mirpur, Dhaka",Apartment,40000.0,4 ,3 ,"1,800 ",Dhaka,Mirpur
"10 No. North Kattali Ward, Chattogram",Apartment,12000.0,2 ,2 ,850 ,Chattogram,10 No. North Kattali Ward
"Middle Badda, Badda, Dhaka",Apartment,17000.0,2 ,2 ,720 ,Dhaka,Badda
"Block F, Bashundhara R-A, Dhaka",Apartment,50000.0,4 ,4 ,"2,300 ",Dhaka,Bashundhara R-A
"Middle Paikpara, Mirpur, Dhaka",Apartment,18000.0,3 ,2 ,"1,050 ",Dhaka,Mirpur
"Banani, Dhaka",Apartment,140000.0,4 ,5 ,"3,200 ",Dhaka,Banani
"Mohammadpur, Dhaka",Apartment,33000.0,3 ,2 ,"1,400 ",Dhaka,Mohammadpur
"Namapara, Khilkhet, Dhaka",Apartment,15000.0,2 ,2 ,950 ,Dhaka,Khilkhet
"Block I, Bashundhara R-A, Dhaka",Apartment,32000.0,3 ,5 ,"2,250 ",Dhaka,Bashundhara R-A
"Sector 13, Uttara, Dhaka",Apartment,35000.0,3 ,3 ,"1,600 ",Dhaka,Uttara
"East Rampura, Rampura, Dhaka",Apartment,22000.0,3 ,3 ,"1,350 ",Dhaka,Rampura
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,16000.0,2 ,2 ,800 ,Dhaka,Mohammadpur
"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,20000.0,3 ,4 ,"1,650 ",Dhaka,Adabor
"Naya Paltan, Motijheel, Dhaka",Apartment,55000.0,3 ,4 ,"1,700 ",Dhaka,Motijheel
"Banani DOHS, Dhaka",Apartment,75000.0,3 ,3 ,"1,800 ",Dhaka,Banani DOHS
"Block L, South Banasree Project, Banasree, Dhaka",Apartment,18000.0,3 ,3 ,"1,200 ",Dhaka,Banasree
"Sector 6, Uttara, Dhaka",Apartment,80000.0,4 ,4 ,"2,900 ",Dhaka,Uttara
"Block A, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,14000.0,3 ,2 ,"1,200 ",Dhaka,Mohammadpur
"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",Apartment,12000.0,2 ,1 Bath,600 ,Dhaka,Mohammadpur
"South Badda, Badda, Dhaka",Apartment,40000.0,3 ,3 ,"1,600 ",Dhaka,Badda
"Banani, Dhaka",Apartment,150000.0,3 ,3 ,"2,450 ",Dhaka,Banani
"Badda, Dhaka",Apartment,21000.0,3 ,2 ,"1,000 ",Dhaka,Badda
"10 No. North Kattali Ward, Chattogram",Apartment,12000.0,2 ,2 ,850 ,Chattogram,10 No. North Kattali Ward
"Khulshi Green Housing Society, Khulshi, Chattogram",Apartment,15000.0,3 ,3 ,"1,200 ",Chattogram,Khulshi
"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",Apartment,14000.0,2 ,2 ,750 ,Dhaka,Mohammadpur
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,16000.0,3 ,3 ,"1,210 ",Dhaka,Mirpur
"Matikata, Cantonment, Dhaka",Apartment,17000.0,3 ,3 ,"1,350 ",Dhaka,Cantonment
"Block A, Pallabi, Mirpur, Dhaka",Apartment,25000.0,3 ,4 ,"1,610 ",Dhaka,Mirpur
"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",Apartment,15000.0,3 ,4 ,"1,654 ",Dhaka,Uttara
"Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,31000.0,3 ,4 ,"1,650 ",Chattogram,16 No. Chawk Bazaar Ward
"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",Apartment,14000.0,2 ,2 ,850 ,Dhaka,Mohammadpur
"Shyamoli, Dhaka",Apartment,30000.0,3 ,3 ,"1,500 ",Dhaka,Shyamoli
"South Pirerbag, Pirerbag, Mirpur, Dhaka",Apartment,18000.0,3 ,3 ,"1,300 ",Dhaka,Mirpur
"Block B, Banasree, Dhaka",Apartment,23000.0,3 ,3 ,"1,350 ",Dhaka,Banasree
"East Rampura, Rampura, Dhaka",Apartment,22000.0,3 ,3 ,"1,350 ",Dhaka,Rampura
"Muzaffarnagar Residential Area, Polytechnic, Bayazid, Chattogram",Apartment,18000.0,3 ,3 ,"1,500 ",Chattogram,Bayazid
"Sector 4, Uttara, Dhaka",Apartment,35000.0,3 ,3 ,"1,550 ",Dhaka,Uttara
"Block C, Khilgaon, Dhaka",Apartment,25000.0,2 ,2 ,950 ,Dhaka,Khilgaon
"Block F, aziz Moholla, Mohammadpur, Dhaka",Apartment,16000.0,2 ,2 ,720 ,Dhaka,Mohammadpur
"Nurer Chala, Badda, Dhaka",Apartment,14500.0,2 ,2 ,800 ,Dhaka,Badda
"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,25000.0,3 ,3 ,"1,750 ",Chattogram,Khulshi
"Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,22000.0,3 ,2 ,"1,150 ",Dhaka,Mohammadpur
"Block B, Bochila City Developers Ltd, Bochila, Mohammadpur, Dhaka",Apartment,20000.0,4 ,4 ,"1,600 ",Dhaka,Mohammadpur
"Dhanmondi, Dhaka",Apartment,60000.0,4 ,4 ,"2,225 ",Dhaka,Dhanmondi
"Block D, Banasree, Dhaka",Apartment,18000.0,3 ,2 ,"1,000 ",Dhaka,Banasree
"West Kazipara, Mirpur, Dhaka",Apartment,20000.0,2 ,2 ,"1,300 ",Dhaka,Mirpur
"Kallyanpur, Mirpur, Dhaka",Apartment,18000.0,3 ,3 ,"1,275 ",Dhaka,Mirpur
"Block H, Banasree, Dhaka",Apartment,20000.0,3 ,3 ,"1,200 ",Dhaka,Banasree
"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,26000.0,3 ,3 ,"1,700 ",Dhaka,Aftab Nagar
"Block H, Banasree, Dhaka",Apartment,18000.0,3 ,3 ,"1,200 ",Dhaka,Banasree
"Badda, Dhaka",Apartment,18000.0,2 ,2 ,800 ,Dhaka,Badda
"Block J, Banasree, Dhaka",Apartment,20000.0,3 ,3 ,"1,200 ",Dhaka,Banasree
"Tejgaon, Dhaka",Apartment,34000.0,3 ,4 ,"1,650 ",Dhaka,Tejgaon
"Kallyanpur, Mirpur, Dhaka",Apartment,17000.0,3 ,3 ,"1,500 ",Dhaka,Mirpur
"Mohammadpur, Dhaka",Apartment,50000.0,4 ,5 ,"2,200 ",Dhaka,Mohammadpur
"East Rampura, Rampura, Dhaka",Apartment,21000.0,3 ,3 ,"1,347 ",Dhaka,Rampura
"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",Apartment,20000.0,3 ,3 ,"1,200 ",Chattogram,11 No. South Kattali Ward
"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",Apartment,26000.0,3 ,3 ,"1,500 ",Dhaka,Mohammadpur
"Block M, South Banasree Project, Banasree, Dhaka",Apartment,20000.0,3 ,2 ,"1,050 ",Dhaka,Banasree
"North Ibrahimpur, Ibrahimpur, Dhaka",Apartment,17500.0,3 ,2 ,"1,100 ",Dhaka,Ibrahimpur
"Kalabagan, Dhaka",Apartment,30000.0,3 ,3 ,"1,300 ",Dhaka,Kalabagan
"Agargaon, Dhaka",Apartment,22000.0,3 ,3 ,"1,200 ",Dhaka,Agargaon
"Sector 6, Uttara, Dhaka",Apartment,30000.0,2 ,2 ,"1,300 ",Dhaka,Uttara
"Uttar Badda, Badda, Dhaka",Apartment,20000.0,2 ,2 ,900 ,Dhaka,Badda
"Gulshan 1, Gulshan, Dhaka",Duplex,420000.0,5 ,6 ,"8,500 ",Dhaka,Gulshan
"Sector 7, Uttara, Dhaka",Apartment,60000.0,3 ,4 ,"2,100 ",Dhaka,Uttara
"Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,16000.0,2 ,2 ,700 ,Dhaka,Mohammadpur
"East Kazipara, Mirpur, Dhaka",Apartment,16000.0,3 ,3 ,"1,050 ",Dhaka,Mirpur
"Dhanmondi, Dhaka",Apartment,60000.0,3 ,4 ,"2,100 ",Dhaka,Dhanmondi
"Block F, Bashundhara R-A, Dhaka",Apartment,27000.0,3 ,4 ,"1,500 ",Dhaka,Bashundhara R-A
"Mohammadpur, Dhaka",Apartment,15000.0,2 ,2 ,780 ,Dhaka,Mohammadpur
"Block K, Baridhara, Dhaka",Apartment,250000.0,4 ,4 ,"3,000 ",Dhaka,Baridhara
"Block E, Bashundhara R-A, Dhaka",Apartment,50000.0,4 ,5 ,"2,315 ",Dhaka,Bashundhara R-A
"Shyamoli, Dhaka",Apartment,30000.0,3 ,3 ,"1,500 ",Dhaka,Shyamoli
"West Firojshah colony, 9 No. North Pahartali Ward, Chattogram",Apartment,13000.0,2 ,2 ,740 ,Chattogram,9 No. North Pahartali Ward
"East Nasirabad, Chattogram",Apartment,27000.0,3 ,3 ,"1,800 ",Chattogram,East Nasirabad
"Kathalbagan, Dhaka",Apartment,36000.0,3 ,3 ,"1,560 ",Dhaka,Kathalbagan
"Block A, Bashundhara R-A, Dhaka",Apartment,44000.0,3 ,4 ,"1,890 ",Dhaka,Bashundhara R-A
"Momin Bagh R/A, Ali Nagar, Bayazid, Chattogram",Apartment,14000.0,2 ,2 ,850 ,Chattogram,Bayazid
"North Adabor, Adabor, Dhaka",Apartment,20000.0,3 ,3 ,"1,200 ",Dhaka,Adabor
"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",Apartment,10500.0,2 ,2 ,700 ,Chattogram,11 No. South Kattali Ward
"24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,15000.0,2 ,2 ,"1,000 ",Chattogram,Double Mooring
"Block B, Future Town, Bochila, Mohammadpur, Dhaka",Apartment,13000.0,3 ,3 ,"1,350 ",Dhaka,Mohammadpur
"Farmgate, Tejgaon, Dhaka",Apartment,30000.0,3 ,3 ,"1,550 ",Dhaka,Tejgaon
"Mohammadpur, Dhaka",Apartment,70000.0,3 ,3 ,"2,088 ",Dhaka,Mohammadpur
"South Khulshi, Khulshi, Chattogram",Apartment,50000.0,3 ,3 ,"1,775 ",Chattogram,Khulshi
"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",Apartment,13000.0,2 ,2 ,700 ,Dhaka,Mohammadpur
